"deviceWidth","deviceHeight","touchX","touchY"
"320","50","0.5322","0.3639"
"320","50","0.3604","0.7733"
"320","50","0.6475","0.3795"
"320","50","0.4595","0.1876"
"320","50","0.2781","0.7800"
"320","50","0.5922","0.5300"
"320","50","0.6709","0.1931"
"320","50","0.9344","0.3600"
"320","50","0.7188","0.7000"
"320","50","0.3578","0.9900"
"320","50","0.5281","0.9734"
"","","",""
"320","50","0.1688","0.5600"
"","","",""
"320","50","0.8909","0.5728"
"320","50","0.8628","0.7579"
"","","",""
"","","",""
"320","50","0.8521","0.9067"
"320","50","0.5601","0.2813"
"320","50","0.8752","0.1767"
"","","",""
"320","50","0.2813","0.3600"
"320","50","0.9771","0.6533"
"320","50","0.8939","0.5371"
"320","50","0.8960","0.1509"
"320","50","0.8786","0.3795"
"320","50","0.8969","0.0000"
"320","50","0.8599","0.5892"
"320","50","0.1187","0.2800"
"320","50","0.5500","0.9400"
"320","50","0.5563","0.7200"
"320","50","0.4852","0.8002"
"320","50","0.9082","0.1958"
"320","50","0.6125","0.5400"
"320","50","0.4313","0.0600"
"320","50","0.7500","0.6400"
"320","51","0.0250","0.3922"
"320","51","0.5031","0.5098"
"","","",""
"320","50","0.6094","0.0800"
"320","50","0.7813","0.9200"
"320","50","0.4614","0.3058"
"320","50","0.4906","0.4000"
"320","50","0.2433","0.2114"
"320","50","0.9969","0.9800"
"320","50","0.4011","0.3726"
"320","50","0.4491","0.8678"
"320","50","0.3969","0.2000"
"","","",""
"320","50","0.0873","0.0955"
"320","50","0.5750","0.0800"
"320","50","0.9812","0.6200"
"320","50","0.0187","0.4600"
"320","50","0.7438","0.3000"
"360","640","0.0166","0.7463"
"320","50","0.3635","0.3102"
"320","50","0.5468","0.0012"
"320","51","0.4969","0.3137"
"320","50","0.0453","0.0532"
"320","50","0.3596","0.0420"
"320","50","0.4199","0.4439"
"320","50","0.7941","0.0315"
"320","50","0.5218","0.1610"
"","","",""
"320","50","0.9459","0.4705"
"320","50","0.9083","0.0634"
"320","50","0.9969","0.6400"
"320","50","0.6937","0.3400"
"320","50","0.6417","0.7733"
"320","50","0.4324","0.9867"
"320","50","0.7615","0.1533"
"320","50","0.2213","0.0499"
"320","50","0.9019","0.0222"
"","","",""
"","","",""
"320","50","0.3125","0.0000"
"","","",""
"","","",""
"320","50","0.6094","0.2000"
"","","",""
"","","",""
"320","50","0.2604","0.4333"
"","","",""
"320","50","0.5135","0.0910"
"","","",""
"320","50","0.6219","0.8800"
"","","",""
"320","50","0.5157","0.7795"
"320","50","0.1589","0.0781"
"320","50","0.2313","0.1200"
"","","",""
"320","50","0.0228","0.4528"
"320","50","0.6854","0.2667"
"","","",""
"","","",""
"320","50","0.1563","0.3200"
"320","50","0.7161","0.5311"
"320","50","0.3563","0.1600"
"320","50","0.5055","0.3113"
"320","50","0.7120","0.3560"
"320","50","0.7000","0.6600"
"320","50","0.9251","0.8294"
"","","",""
"320","50","0.5573","0.4069"
"320","50","0.8877","0.0638"
"","","",""
"","","",""
"","","",""
"320","50","0.9938","0.2200"
"320","50","0.5637","0.0635"
"320","50","0.9517","0.3169"
"320","50","0.6678","0.1798"
"","","",""
"320","51","0.4531","0.3529"
"320","50","0.6750","0.9600"
"320","50","0.2985","0.0521"
"","","",""
"320","50","0.9346","0.2158"
"320","50","0.9291","0.4361"
"320","50","0.5363","0.4972"
"","","",""
"320","50","0.8125","0.5000"
"","","",""
"320","50","0.8999","0.5028"
"","","",""
"320","50","0.2542","0.8401"
"320","51","0.0625","0.0784"
"320","50","0.9187","0.2200"
"","","",""
"","","",""
"","","",""
"320","50","0.0514","0.5128"
"","","",""
"320","50","0.4009","0.6191"
"","","",""
"320","50","0.9844","0.8000"
"320","50","0.5581","0.0495"
"320","50","0.5000","0.5800"
"320","50","0.1872","0.7809"
"","","",""
"320","50","0.9020","0.3895"
"","","",""
"320","50","0.3719","0.2800"
"320","50","0.9156","0.5000"
"320","50","0.7667","0.9333"
"","","",""
"320","50","0.6104","0.2267"
