"executed","deviceWidth","deviceHeight","touchX","touchY"
"1","300","250","0.31","0.22"
"1","300","250","0.22","0.91"
"1","300","250","0.84","0.10"
"1","300","250","0.02","0.05"
"1","300","250","0.03","0.05"
"1","300","250","0.11","0.04"
"1","300","250","0.32","0.77"
"1","301","250","0.50","0.91"
"1","300","250","0.19","0.27"
"1","300","250","0.02","0.03"
"1","300","250","0.18","0.40"
"1","300","250","0.11","0.90"
"1","300","250","0.34","0.74"
"1","300","250","0.20","0.94"
"1","300","250","0.20","0.80"
"1","300","250","0.09","0.20"
"1","300","250","0.07","0.32"
"1","300","250","0.07","0.57"
"1","300","250","0.55","0.90"
"1","300","250","0.78","0.63"
"1","300","250","0.25","0.81"
"1","300","250","0.71","0.84"
"1","300","250","0.03","0.05"
"1","300","250","0.47","0.78"
"1","300","250","0.18","0.66"
"1","300","250","0.30","0.21"
"1","300","250","0.21","0.06"
"1","300","250","0.23","0.75"
"1","300","250","0.03","0.05"
"1","300","250","0.17","0.10"
"1","300","250","0.08","0.63"
"1","300","250","0.38","0.37"
"1","300","250","0.27","0.79"
"1","300","250","0.03","0.65"
"1","300","250","0.12","0.82"
"1","300","250","0.03","0.05"
"1","300","250","0.21","0.64"
"1","300","250","0.36","0.72"
"1","300","250","0.00","0.51"
"1","300","250","0.68","0.93"
"1","300","250","0.14","0.02"
"1","300","250","0.07","0.20"
"1","300","250","0.24","1.00"
"1","300","250","0.37","0.99"
"1","300","250","0.17","0.42"
"1","300","250","0.07","0.20"
"1","300","250","0.02","0.03"
"1","300","250","0.00","0.84"
"1","300","250","0.41","0.18"
"1","300","250","0.93","0.32"
"1","300","250","0.24","0.62"
"1","300","250","0.27","0.50"
"1","300","250","0.33","0.56"
"1","300","250","0.12","0.70"
"1","300","250","0.01","0.13"
"1","300","250","0.02","0.03"
"1","300","250","0.27","0.88"
"1","300","250","0.02","0.03"
"1","300","250","0.23","0.13"
"1","300","250","0.02","0.03"
"1","300","250","0.26","0.81"
"1","300","250","0.43","0.36"
"1","300","250","0.10","0.49"
"1","300","250","0.80","0.65"
"1","300","250","0.03","0.05"
"1","300","250","0.01","0.69"
"1","300","250","0.03","0.06"
"1","300","250","0.12","0.38"
"1","300","250","0.18","0.73"
"1","300","250","0.10","0.41"
"1","300","250","0.83","0.36"
"1","300","250","0.22","0.69"
"1","300","250","0.14","0.46"
"1","300","250","0.07","0.67"
"1","300","250","0.67","0.11"
"1","300","250","0.21","0.90"
"1","300","250","0.07","0.20"
"1","300","250","0.03","0.05"
"1","300","250","0.16","0.65"
"1","300","250","0.39","0.82"
"1","300","250","0.11","0.90"
"1","300","250","0.51","0.91"
"1","300","250","0.40","0.85"
"1","300","250","0.44","0.62"
"1","300","250","0.19","0.40"
"1","300","250","0.36","0.38"
"1","300","250","0.70","0.19"
"1","300","250","0.04","0.42"
"1","300","250","0.21","0.24"
"1","300","250","0.05","0.66"
"1","300","250","0.07","0.20"
"1","300","250","0.12","0.74"
"1","300","250","0.32","0.71"
"1","300","250","0.03","0.06"
"1","300","250","0.01","0.13"
"1","300","250","0.45","0.28"
"1","300","250","0.37","0.56"
"1","300","250","0.03","0.06"
"1","300","250","0.03","0.05"
"1","300","250","0.08","0.34"
"1","300","250","0.08","0.93"
"1","300","250","0.49","0.88"
"1","300","250","0.12","0.27"
"1","300","250","0.06","0.61"
"1","300","250","0.22","0.94"
"1","300","250","0.21","0.80"
"1","300","250","0.15","0.05"
"1","300","250","0.07","0.20"
"1","300","250","0.02","0.03"
"1","300","250","0.03","0.05"
"1","300","250","0.17","0.42"
"1","300","250","0.26","0.43"
"1","300","251","0.42","0.53"
"1","300","250","0.25","0.19"
"1","300","250","0.03","0.05"
"1","300","250","0.07","0.20"
"1","300","250","0.03","0.05"
"1","300","250","0.78","0.70"
"1","300","250","0.22","0.42"
"1","300","250","0.02","0.03"
"1","300","250","0.27","0.41"
