"touchX","touchY","deviceWidth","deviceHeight"
"0.1311","0.9893","300","250"
"0.1267","0.2000","300","250"
"0.3633","0.3440","300","250"
"0.1449","0.4803","300","250"
"0.0485","0.9415","300","250"
"0.0931","0.8663","300","250"
"0.0250","0.0500","300","250"
"0.0250","0.0500","300","250"
"0.0111","0.1333","300","250"
"","","",""
"0.2517","0.5900","300","250"
"0.1889","0.2667","300","250"
"0.0250","0.0500","300","250"
"0.8900","0.6480","300","250"
"0.1600","0.0360","300","250"
"0.1567","0.7240","300","250"
"0.0531","0.7204","300","250"
"0.0667","0.2000","300","250"
"0.8943","0.3530","300","250"
"0.0250","0.0500","300","250"
"0.2395","0.2388","300","250"
"0.0167","0.0320","300","250"
"0.5300","0.0320","300","250"
"0.6867","0.2840","300","250"
"0.3377","0.8843","300","250"
"0.0289","0.1573","300","250"
"0.5500","0.4080","300","250"
"0.4309","0.7304","300","250"
"0.0250","0.0500","300","250"
"0.0167","0.0320","300","250"
"0.0698","0.8523","300","250"
"0.3900","0.9000","300","250"
"0.1222","0.2667","300","250"
"0.4200","0.7280","300","250"
"0.9300","0.6200","300","250"
"0.0250","0.0500","300","250"
"0.4609","0.9023","300","250"
"0.0667","0.8520","300","250"
"0.4060","0.8403","300","250"
"0.0250","0.0500","300","250"
"0.0250","0.0500","300","250"
"0.8700","0.3120","300","250"
"0.0167","0.0320","300","250"
"0.4844","0.1067","300","250"
"0.1200","0.3720","300","250"
"0.2867","0.7520","300","250"
"0.3333","0.2000","300","250"
"0.1333","0.5720","300","250"
"0.1533","0.3080","300","250"
"0.2489","0.3547","300","250"
"0.0265","0.3635","300","250"
"0.8767","0.0320","300","250"
"0.0250","0.0500","300","250"
"0.2308","0.5337","300","250"
"0.0111","0.1333","300","250"
"0.0667","0.2000","300","250"
"0.0250","0.0500","300","250"
"0.1646","0.8543","300","250"
"0.4592","0.7584","300","250"
"0.2595","0.4466","300","250"
"0.0333","0.0640","300","250"
"0.1696","0.6185","300","250"
"0.0631","0.5326","300","250"
"0.0233","0.6360","300","250"
"0.2794","0.4327","300","250"
"0.0333","0.0640","300","250"
"0.1800","0.2640","300","250"
"0.0644","0.6133","300","250"
"0.1467","0.4200","300","250"
"0.2233","0.1760","300","250"
"0.2133","0.6720","300","250"
"0.2800","0.7960","300","250"
"0.1100","0.6560","300","250"
"0.2200","0.6520","300","250"
"0.2333","0.0760","300","250"
"0.0167","0.0320","300","250"
"0.3460","0.5046","300","250"
"0.9935","0.1629","300","250"
"0.2367","0.9960","300","250"
"0.0250","0.0500","300","250"
"0.0667","0.2000","300","250"
"0.9885","0.4067","300","250"
"0.1413","0.7004","300","250"
"0.0215","0.6465","300","250"
"0.0711","0.0747","300","250"
"0.0476","0.6443","300","250"
"0.5829","0.1394","300","250"
"0.1513","0.4806","300","250"
"0.2196","0.4986","300","250"
"0.0098","0.5745","300","250"
"0.0250","0.0500","300","250"
"0.0331","0.6165","300","250"
"0.2489","0.2827","300","250"
"0.0333","0.0640","300","250"
"0.7255","0.5825","300","250"
"0.0809","0.1686","300","250"
"0.0250","0.0500","300","250"
"0.1233","0.6840","300","250"
"0.1433","0.8920","300","250"
"0.2429","0.7344","300","250"
"0.0250","0.0500","300","250"
"0.7638","0.6705","300","250"
"0.1363","0.4227","300","250"
"0.3218","0.5057","300","250"
"0.1867","0.8840","300","250"
"0.6856","0.1589","300","250"
"0.1933","0.7440","300","250"
"0.0333","0.0640","300","250"
"0.4209","0.7264","300","250"
